,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
51241,重庆市,Chongqing,500000,长寿区,Changshou District,500115.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51315,陕西省,Shaanxi,610000,咸阳,Xianyang,610400.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51316,陕西省,Shaanxi,610000,安康,Ankang,610900.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51317,陕西省,Shaanxi,610000,延安,Yan'an,610600.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51314,陕西省,Shaanxi,610000,西安,Xi'an,610100.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51419,黑龙江省,Heilongjiang,230000,哈尔滨,Harbin,230100.0,1,0,0,2020-01-24 16:58:08.245,2020-01-24,,,
51420,黑龙江省,Heilongjiang,230000,大庆,Daqing,230600.0,1,0,0,2020-01-24 16:58:08.245,2020-01-24,,,
51418,黑龙江省,Heilongjiang,230000,牡丹江,Mudanjiang,231000.0,1,0,0,2020-01-24 16:58:08.245,2020-01-24,,,
51421,黑龙江省,Heilongjiang,230000,绥化,Suihua,231200.0,1,0,1,2020-01-24 16:58:08.245,2020-01-24,,,
50320,云南省,Yunnan,530000,丽江市,,,2,0,0,2020-01-25 19:12:37.131,2020-01-25,1.0,0.0,0.0
50325,云南省,Yunnan,530000,大理,,,1,0,0,2020-01-25 19:12:37.131,2020-01-25,,,
50319,云南省,Yunnan,530000,昆明,Kunming,530100.0,4,0,0,2020-01-25 19:12:37.131,2020-01-25,1.0,0.0,0.0
50322,云南省,Yunnan,530000,曲靖,Qujing,530300.0,1,0,0,2020-01-25 19:12:37.131,2020-01-25,,,
50323,云南省,Yunnan,530000,玉溪,Yuxi,530400.0,1,0,0,2020-01-25 19:12:37.131,2020-01-25,,,
50324,云南省,Yunnan,530000,红河,,,1,0,0,2020-01-25 19:12:37.131,2020-01-25,,,
50321,云南省,Yunnan,530000,西双版纳州,,,1,0,0,2020-01-25 19:12:37.131,2020-01-25,0.0,0.0,0.0
50257,内蒙古自治区,Neimenggu,150000,呼伦贝尔,Hulunbuir,150700.0,1,0,0,2020-01-25 22:04:50.153,2020-01-25,,,
50255,内蒙古自治区,Neimenggu,150000,满洲里,,,1,0,0,2020-01-25 22:04:50.153,2020-01-25,0.0,0.0,0.0
